,std::chrono::from_stream(),oss<<std::vformat(),date::from_stream(),date::to_stream(),jugaad::from_stream(),jugaad::to_stream()
"ubuntu24, g++-14",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
"ubuntu24, g++-13",--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__
"ubuntu24, g++-12",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"ubuntu24, clang++-18",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
"ubuntu24, clang++-17",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
"ubuntu24, clang++-16",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
"ubuntu22, g++-12",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"ubuntu22, g++-11",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"ubuntu22, clang++-15",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"ubuntu22, clang++-14",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"ubuntu22, clang++-13",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"macos14, appleClang++-15",--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__
"macos14, g++-14",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
"macos14, g++-13",--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__
"macos14, g++-12",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"macos13, appleClang++-15",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"macos13, g++-14",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
"macos13, g++-13",--FAILED--,--FAILED--,--FAILED--,--FAILED--,##ENABLED##,##ENABLED##
"macos13, g++-12",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"macos12, appleClang++-15",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"macos12, g++-14",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
"macos12, g++-13",--FAILED--,--FAILED--,--FAILED--,--FAILED--,##ENABLED##,##ENABLED##
"macos12, g++-12",--FAILED--,--FAILED--,++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__
"Windows-2022, msvc-19",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
"Windows-2022, clangCL",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
"Windows-2019, clangCL",++SUCCESS++,++SUCCESS++,__SKIPPED__,__SKIPPED__,__SKIPPED__,__SKIPPED__
